,Tool Name,URL,Description,Website Link,Verified,Cited To,Category,PreprocessedDescription
10,MoveMe,https://www.allthingsai.com/tool/moveme,An AI assistant to help students study and learn faster.,https://moveme.tv/,True,https://moveme.tv/?ref=allthingsai,Automation,ai assist help student studi learn faster
11,FireTexts,https://www.allthingsai.com/tool/firetexts,An AI business name generator to brainstorm and brand your next startup.,https://www.firetexts.co/,True,https://www.firetexts.co/?ref=allthingsai,Writing,ai busi name gener brainstorm brand next startup
12,Quest,https://www.allthingsai.com/tool/quest,Define policies and guardrails for how your organization uses OpenAI.,https://www.quest.ai/,True,https://www.quest.ai/?ref=allthingsai,Coding,defin polici guardrail organ use openai
13,Summate,https://www.allthingsai.com/tool/summate,Start with a topic and let Albus quickly shape your AI powered idea board.,https://www.summate.io/,True,https://www.summate.io/?ref=allthingsai,Research,start topic let albu quickli shape ai power idea board
14,Meshy,https://www.allthingsai.com/tool/meshy,"Generate 3d objects, animations, and textures using plain english language.",https://www.meshy.ai/,True,https://www.meshy.ai/?ref=allthingsai,3D,gener 3d object anim textur use plain english languag
15,Workflos,https://www.allthingsai.com/tool/workflos,An AI assistant to help students study and learn faster.,https://workflos.ai/,True,https://workflos.ai/?ref=allthingsai,Automation,ai assist help student studi learn faster
16,Albus,https://www.allthingsai.com/tool/albus,"Get weekly summaries of your Youtube and Substack feeds, straight to your inbox.",https://www.albus.org/,True,https://www.albus.org/?ref=allthingsai,Research,get weekli summari youtub substack feed straight inbox
17,Leonardo,https://www.allthingsai.com/tool/leonardo,Craft infinite virtual 360 worlds with a single text prompt in Skybox Lab.,https://leonardo.ai/,True,https://leonardo.ai/?ref=allthingsai,Game Dev,craft infinit virtual 360 world singl text prompt skybox lab
0,Pagelines,https://www.allthingsai.com/tool/pagelines,"Add smart ChatGPT powered chat, search, and user assistance to your websites.",https://www.pagelines.com/,True,https://www.pagelines.com/?ref=allthingsai,Chatbots,add smart chatgpt power chat search user assist websit
1,Cody,https://www.allthingsai.com/tool/cody,Cody is an intelligent AI assistant that can be trained on your own business data.,https://meetcody.ai/,True,https://meetcody.ai/?ref=allthingsai,Chatbots,codi intellig ai assist train busi data
2,WebWhiz,https://www.allthingsai.com/tool/webwhiz,Train ChatGPT on your website data and build your own customer service chatbot.,https://www.webwhiz.ai/,True,https://www.webwhiz.ai/?ref=allthingsai,Chatbots,train chatgpt websit data build custom servic chatbot
3,Odin,https://www.allthingsai.com/tool/odin,An ChatGPT alternative with constant access To real-time information.,https://getodin.ai/,True,https://getodin.ai/?ref=allthingsai,Chatbots,chatgpt altern constant access realtim inform
4,MagicForm,https://www.allthingsai.com/tool/magicform,"Greet your visitors with a friendly, competent and trustworthy AI sales rep.",https://www.magicform.ai/,True,https://www.magicform.ai/?ref=allthingsai,Chatbots,greet visitor friendli compet trustworthi ai sale rep
5,Ora,https://www.allthingsai.com/tool/ora,Build a custom chatbot or engage with bots that other Ora users have created.,https://ora.ai/,True,https://ora.ai/?ref=allthingsai,Chatbots,build custom chatbot engag bot ora user creat
6,ZipChat,https://www.allthingsai.com/tool/zipchat,Create an AI-Powered ChatBot for your website in less than 30 seconds.,https://zipchat.ai/,True,https://zipchat.ai/?ref=allthingsai,Chatbots,creat aipow chatbot websit less 30 second
7,Mottle,https://www.allthingsai.com/tool/mottle,Revolutionize your customer support by creating an AI-powered chatbot.,https://mottle.com/,True,https://mottle.com/?ref=allthingsai,Chatbots,revolution custom support creat aipow chatbot
8,Twissy,https://www.allthingsai.com/tool/twissy,Create chatbots based on ChatGPT newest language models and your own data.,https://twissy.io/,True,https://twissy.io/?ref=allthingsai,Chatbots,creat chatbot base chatgpt newest languag model data
9,Pi,https://www.allthingsai.com/tool/pi,"A smart and supportive chatbot that's available on web, iPhone, iPad and more.",https://heypi.com/,True,https://heypi.com/?ref=allthingsai,Chatbots,smart support chatbot that avail web iphon ipad
10,Orimon,https://www.allthingsai.com/tool/orimon,Build and deploy your conversational sales AI chatbot inunder 2 minutes.,https://orimon.ai/,True,https://orimon.ai/?ref=allthingsai,Chatbots,build deploy convers sale ai chatbot inund 2 minut
11,Nextatlas Generate,https://www.allthingsai.com/tool/nextatlas-generate,A generative trend forecasting service powered by large language models.,https://generate.nextatlas.com/,True,https://generate.nextatlas.com/?ref=allthingsai,Chatbots,gener trend forecast servic power larg languag model
12,Dialoq,https://www.allthingsai.com/tool/dialoq,Build AI powered chatbot with your own data and embed it on your website.,https://dialoqai.com/,True,https://dialoqai.com/?ref=allthingsai,Chatbots,build ai power chatbot data emb websit
13,ChatWizard,https://www.allthingsai.com/tool/chatwizard,Create a custom ChatGPT chatbot for your website or document.,https://chatwizardai.com/,True,https://chatwizardai.com/?ref=allthingsai,Chatbots,creat custom chatgpt chatbot websit document
14,My AskAI,https://www.allthingsai.com/tool/my-askai,Add an AI powered chatbot to your own website in a matter of minutes.,https://myaskai.com/,True,https://myaskai.com/?ref=allthingsai,Chatbots,add ai power chatbot websit matter minut
15,FlowGPT,https://www.allthingsai.com/tool/flowgpt,The chatbot tool on a canvas that improves conversation structure and clarity.,https://flowgpt.ai/,True,https://flowgpt.ai/?ref=allthingsai,Chatbots,chatbot tool canva improv convers structur clariti
16,EnhanceAI,https://www.allthingsai.com/tool/enhanceai,Add an AI Autocomplete chatbot to any website in 2 minutes with EnhanceAI.,https://www.enhanceai.dev/,True,https://www.enhanceai.dev/?ref=allthingsai,Chatbots,add ai autocomplet chatbot websit 2 minut enhanceai
17,MacGPT,https://www.allthingsai.com/tool/macgpt,Access ChatGPT from anywhere on your Mac and use it in every textfield.,https://www.macgpt.com/,True,https://www.macgpt.com/?ref=allthingsai,Chatbots,access chatgpt anywher mac use everi textfield
18,Google Bard,https://www.allthingsai.com/tool/google-bard,Bard is Google's Chatbot powered by a Large Language Model. Available in the US first.,https://bard.google.com/,True,https://bard.google.com/?ref=allthingsai,Chatbots,bard googl chatbot power larg languag model avail us first
19,Promptitude,https://www.allthingsai.com/tool/promptitude,The easiest & fastest way to integrate GPT into your apps.,https://promptitude.io/,True,https://promptitude.io/?ref=allthingsai,Chatbots,easiest fastest way integr gpt app
20,Chatbot Design Studio,https://www.allthingsai.com/tool/chatbotdesignstudio,Create chatbots and conversational apps with an innovative no-code designer.,https://tiledesk.com/chatbot-design-studio/,True,https://tiledesk.com/chatbot-design-studio/?ref=allthingsai,Chatbots,creat chatbot convers app innov nocod design
21,IngestAI,https://www.allthingsai.com/tool/ingestai,Turn your knowledge base into a ChatGPT-like context-aware bot.,https://ingestai.io/,True,https://ingestai.io/?ref=allthingsai,Chatbots,turn knowledg base chatgptlik contextawar bot
22,Berri,https://www.allthingsai.com/tool/berri,Connect your data and build production-ready chatGPT apps in minutes.,https://berri.ai/,True,https://berri.ai/?ref=allthingsai,Chatbots,connect data build productionreadi chatgpt app minut
23,Chat Thing,https://www.allthingsai.com/tool/chat-thing,Create an AI chatbot powered by GPT using your existing Notion content.,https://chatthing.ai/,True,https://chatthing.ai/?ref=allthingsai,Chatbots,creat ai chatbot power gpt use exist notion content
24,Monica,https://www.allthingsai.com/tool/monica,Your ChatGPT powered AI assistant for all of the websites you visit.,https://monica.im/,True,https://monica.im/?ref=allthingsai,Chatbots,chatgpt power ai assist websit visit
25,SiteGuide,https://www.allthingsai.com/tool/siteguide,Ask a website any question outloud and let it speak a factual answer.,https://siteguide.ai/,True,https://siteguide.ai/?ref=allthingsai,Chatbots,ask websit question outloud let speak factual answer
26,Pickaxe,https://www.allthingsai.com/tool/pickaxe,"Embed ChatGPT into your business or website, no code needed.",https://beta.pickaxeproject.com/,True,https://beta.pickaxeproject.com/?ref=allthingsai,Chatbots,emb chatgpt busi websit code need
27,Embra,https://www.allthingsai.com/tool/embra,"A fast, ChatGPT-like assistant for your mac, personalized to you and your work.",https://embra.app/,True,https://embra.app/?ref=allthingsai,Chatbots,fast chatgptlik assist mac person work
28,Humata,https://www.allthingsai.com/tool/humata,Humata is like ChatGPT for your files. Ask questions and get answers about any file instantly.,https://www.humata.ai/,True,https://www.humata.ai/?ref=allthingsai,Chatbots,humata like chatgpt file ask question get answer file instantli
29,Fini,https://www.allthingsai.com/tool/fini,Generate an AI agent based on your knowledge base ready to answer questions.,https://www.usefini.com/,True,https://www.usefini.com/?ref=allthingsai,Chatbots,gener ai agent base knowledg base readi answer question
30,Chatbase,https://www.allthingsai.com/tool/chatbase,Upload a pdf and get a link to a chatbot that can answer any question on it.,https://www.chatbase.co/,True,https://www.chatbase.co/?ref=allthingsai,Chatbots,upload pdf get link chatbot answer question
31,Kili,https://www.allthingsai.com/tool/kili,Build your own personalised AI assistant without using code.,https://www.kili.so/,True,https://www.kili.so/?ref=allthingsai,Chatbots,build personalis ai assist without use code
32,BibleGPT,https://www.allthingsai.com/tool/biblegpt,"Talk to the Bible. Ask questions or remember a specific verse, it's all there.",https://biblegpt.org/,True,https://biblegpt.org/?ref=allthingsai,Chatbots,talk bibl ask question rememb specif vers
33,OneReach,https://www.allthingsai.com/tool/onereach,A no-code/low-code process automation platform with conversational AI built in.,https://onereach.ai/,True,https://onereach.ai/?ref=allthingsai,Chatbots,nocodelowcod process autom platform convers ai built
34,Character.AI,https://www.allthingsai.com/tool/character-ai,Create your own AI that's always available to help you with anything.,https://www.character.ai/,True,https://www.character.ai/?ref=allthingsai,Chatbots,creat ai that alway avail help anyth
35,ChatBotKit,https://www.allthingsai.com/tool/chatbotkit,Build your own chatbot that can communicate with users in natural language.,https://chatbotkit.com/,True,https://chatbotkit.com/?ref=allthingsai,Chatbots,build chatbot commun user natur languag
36,ChatGPTBot,https://www.allthingsai.com/tool/chatgptbot,Twitter bot powered by ChatGPT. Just @ with your prompt to start a conversation.,https://twitter.com/ChatGPTBot/,True,https://twitter.com/ChatGPTBot/?ref=allthingsai,Chatbots,twitter bot power chatgpt prompt start convers
37,Chatsonic,https://www.allthingsai.com/tool/chatsonic,"An NLP AI chatbot that understands voice commands, and generates content.",https://writesonic.com/chat,True,https://writesonic.com/chat?ref=allthingsai ,Chatbots,nlp ai chatbot understand voic command gener content
38,Jasper Chat,https://www.allthingsai.com/tool/jasper-chat,Have a natural conversation with AI that feels surprisingly human.,https://www.jasper.ai/chat,True,https://www.jasper.ai/chat?ref=allthingsai ,Chatbots,natur convers ai feel surprisingli human
39,Poe,https://www.allthingsai.com/tool/poe,A user friendly GPT-3 interface by Quora tailored for your mobile device.,https://poe.quora.com/,True,https://poe.quora.com/?ref=allthingsai ,Chatbots,user friendli gpt3 interfac quora tailor mobil devic
40,GPT Discord Bot,https://www.allthingsai.com/tool/gpt-discord-bot,Python Discord bot to have conversations with the text-davinci-003 API.,https://github.com/openai/gpt-discord-bot,True,https://github.com/openai/gpt-discord-bot?ref=allthingsai ,Chatbots,python discord bot convers textdavinci003 api
41,XP1,https://www.allthingsai.com/tool/xp1,XP1 is an assistant based on GPT with access to your browser tabs content.,https://xp1.dust.tt/,True,https://xp1.dust.tt/?ref=allthingsai ,Chatbots,xp1 assist base gpt access browser tab content
42,ChatGPT,https://www.allthingsai.com/tool/chatgpt,ChatGPT is a model which interacts in a conversational way.,https://openai.com/blog/chatgpt/,True,https://openai.com/blog/chatgpt/?ref=allthingsai ,Chatbots,chatgpt model interact convers way
43,Quest,https://www.allthingsai.com/tool/quest,"Generate ReactJS code from your design using AI, just like you would handcode.",https://www.quest.ai/,True,https://www.quest.ai/?ref=allthingsai,Coding,gener reactj code design use ai like would handcod
44,Usage Panda,https://www.allthingsai.com/tool/usage-panda,Define policies and guardrails for how your organization uses OpenAI.,https://usagepanda.com/,True,https://usagepanda.com/?ref=allthingsai,Coding,defin polici guardrail organ use openai
45,AI Spend,https://www.allthingsai.com/tool/ai-spend,Keep track of your OpenAI usage and costs and never be surprised again.,https://aispend.io/,True,https://aispend.io/?ref=allthingsai,Coding,keep track openai usag cost never surpris
46,DocuWriter,https://www.allthingsai.com/tool/docuwriter,Automatically generate accurate documentation from source code files.,https://www.docuwriter.ai/,True,https://www.docuwriter.ai/?ref=allthingsai,Coding,automat gener accur document sourc code file
47,Smol Developer,https://www.allthingsai.com/tool/smol-developer,Human-centric Whole Program Synthesis aka your own personal junior developer.,https://github.com/smol-ai/developer/,True,https://github.com/smol-ai/developer/?ref=allthingsai,Coding,humancentr whole program synthesi aka person junior develop
48,Bito,https://www.allthingsai.com/tool/bito,"An assistant for your IDE that generates code, unit tests, code comments, and more.",https://bito.ai/,True,https://bito.ai/?ref=allthingsai,Coding,assist ide gener code unit test code comment
49,Jam,https://www.allthingsai.com/tool/jam,Report a bug and let the AI debugging assistant figure it out what's wrong.,https://jam.dev/jamgpt,True,https://jam.dev/jamgpt?ref=allthingsai,Coding,report bug let ai debug assist figur what wrong
50,Only.Coms,https://www.allthingsai.com/tool/only-coms,Find an available .com domain for your next project. Powered by ChatGPT.,https://onlycoms.com/,True,https://onlycoms.com/?ref=allthingsai,Coding,find avail com domain next project power chatgpt
51,MarsX,https://www.allthingsai.com/tool/marsx,Create websites and apps with or without code using common english.,https://www.marsx.dev/,True,https://www.marsx.dev/?ref=allthingsai,Coding,creat websit app without code use common english
52,Refact,https://www.allthingsai.com/tool/refact,"AI coding assistant that combines completion, refactoring, chat, and more.",https://refact.ai/,True,https://refact.ai/?ref=allthingsai,Coding,ai code assist combin complet refactor chat
53,Codium,https://www.allthingsai.com/tool/codium,"Get non-trivial tests (and trivial, too!) suggested right inside your IDE.",https://www.codium.ai/,True,https://www.codium.ai/?ref=allthingsai,Coding,get nontrivi test trivial suggest right insid ide
54,AutoRegex,https://www.allthingsai.com/tool/autoregex,Regular Expressions are hard. AutoRegex uses AI to make them easier to create.,https://www.autoregex.xyz/,True,https://www.autoregex.xyz/?ref=allthingsai,Coding,regular express hard autoregex use ai make easier creat
55,Tabnine,https://www.allthingsai.com/tool/tabnine,Tabnine predicts and suggests your next lines of code based on context & syntax.,https://www.tabnine.com/,True,https://www.tabnine.com/?ref=allthingsai,Coding,tabnin predict suggest next line code base context syntax
56,Code Snippets,https://www.allthingsai.com/tool/code-snippets,"Generate, Refactor, Debug and Document your snippets using GPT3.",https://codesnippets.ai/,True,https://codesnippets.ai/?ref=allthingsai,Coding,gener refactor debug document snippet use gpt3
57,HeyCLI,https://www.allthingsai.com/tool/heycli,Translate natural language to terminal commands with HeyCLI.,https://www.heycli.com/,True,https://www.heycli.com/?ref=allthingsai,Coding,translat natur languag termin command heycli
58,Bifrost,https://www.allthingsai.com/tool/bifrost,Use AI to turn your Figma designs into clean React code automatically.,https://www.bifrost.so/,True,https://www.bifrost.so/?ref=allthingsai,Coding,use ai turn figma design clean react code automat
59,Auto Backend,https://www.allthingsai.com/tool/auto-backend,Create an AI-generated backend by describing it in just a few sentences.,https://www.autobackend.dev/,True,https://www.autobackend.dev/?ref=allthingsai,Coding,creat aigener backend describ sentenc
60,SpellBox,https://www.allthingsai.com/tool/spellbox,SpellBox uses artificial intelligence to create the code you need from simple prompts.,https://spellbox.app/,True,https://spellbox.app/?ref=allthingsai,Coding,spellbox use artifici intellig creat code need simpl prompt
61,co:here,https://www.allthingsai.com/tool/co-here,Toolkit that helps developers make programs that read and write.,https://cohere.ai/,True,https://cohere.ai/?ref=allthingsai,Coding,toolkit help develop make program read write
62,Debuild,https://www.allthingsai.com/tool/debuild,AI-powered low-code tool that helps you build web apps blazingly fast.,https://debuild.app/,True,https://debuild.app/?ref=allthingsai,Coding,aipow lowcod tool help build web app blazingli fast
63,AirOps,https://www.allthingsai.com/tool/airops,"Write SQL, documentation and more with a collection of powerful recipes.",https://www.airops.com/,True,https://www.airops.com/?ref=allthingsai,Coding,write sql document collect power recip
64,AI Query,https://www.allthingsai.com/tool/ai-query,Use simple English and let AI generate error free SQL in seconds.,https://aiquery.co/,True,https://aiquery.co/?ref=allthingsai,Coding,use simpl english let ai gener error free sql second
65,HTTPie AI,https://www.allthingsai.com/tool/httpie-ai,Use AI to increase your productivity when testing and talking to APIs.,https://httpie.ai/,True,https://httpie.ai/?ref=allthingsai,Coding,use ai increas product test talk api
66,Ghostwriter,https://www.allthingsai.com/tool/ghostwriter,"Ghostwriter by Replit uses AI to help you write better code, faster.",https://replit.com/site/ghostwriter,True,https://replit.com/site/ghostwriter?ref=allthingsai ,Coding,ghostwrit replit use ai help write better code faster
67,ExplainDev,https://www.allthingsai.com/tool/explaindev,Explains code and gives direct answers to your technical questions.,https://explain.dev/,True,https://explain.dev/?ref=allthingsai ,Coding,explain code give direct answer technic question
68,Codeball,https://www.allthingsai.com/tool/codeball,Codeball finds bugs in your Pull Requests using AI.,https://codeball.ai/,True,https://codeball.ai/?ref=allthingsai ,Coding,codebal find bug pull request use ai
69,What The Diff,https://www.allthingsai.com/tool/what-the-diff,Save costly developer time by automating pull request summaries.,https://whatthediff.ai/,True,https://whatthediff.ai/?ref=allthingsai ,Coding,save costli develop time autom pull request summari
70,Ask Command,https://www.allthingsai.com/tool/ask-command,A tiny app to remind you about those commands you always forget.,https://askcommand.com/,True,https://askcommand.com/?ref=allthingsai ,Coding,tini app remind command alway forget
71,PLZ-CLI,https://www.allthingsai.com/tool/plz-cli,Find Terminal Commands With Natural Language,https://github.com/m1guelpf/plz-cli,True,https://github.com/m1guelpf/plz-cli?ref=allthingsai ,Coding,find termin command natur languag
72,Github CoPilot AI pair programmer,https://www.allthingsai.com/tool/github-copilot-ai-pair-programmer,Copilot suggests whole lines or entire functions for you in your code editor.,https://github.com/features/copilot,True,https://github.com/features/copilot?ref=allthingsai ,Coding,copilot suggest whole line entir function code editor
73,Looka,https://www.allthingsai.com/tool/looka,Logo and brand identity designer for solopreneurs and startups.,https://looka.grsm.io/ul014w68z4ui,True,https://looka.grsm.io/ul014w68z4ui,Design,logo brand ident design solopreneur startup
74,Brandmark,https://www.allthingsai.com/tool/brandmark,A single click solution to creating an AI logo.,https://brandmark.io/,True,https://brandmark.io/?ref=allthingsai,Design,singl click solut creat ai logo
75,LogoAi,https://www.allthingsai.com/tool/logoai,Free Ai-powered logo generator that helps you create logos in seconds.,https://www.logoai.com/,True,https://www.logoai.com/?ref=allthingsai,Design,free aipow logo gener help creat logo second
76,LukeW Chat,https://www.allthingsai.com/tool/lukew-chat,Ask any design/usability related question to renowned designer Luke Wroblewski.,https://ask.lukew.com/chat,True,https://ask.lukew.com/chat?ref=allthingsai,Design,ask designus relat question renown design luke wroblewski
77,Illustroke,https://www.allthingsai.com/tool/illustroke,Automatically generate stunning vector illustrations using text prompts.,https://illustroke.com/,True,https://illustroke.com/?ref=allthingsai,Design,automat gener stun vector illustr use text prompt
78,Fabrie,https://www.allthingsai.com/tool/fabrie,"Infinite canvas + database with AI, the future workspace for designers and creators.",https://www.fabrie.com/,True,https://www.fabrie.com/?ref=allthingsai,Design,infinit canva databas ai futur workspac design creator
79,Jeda,https://www.allthingsai.com/tool/jeda,"Collaborate in real-time, create stunning visual content, and boost your business strategy.",https://www.jeda.ai/,True,https://www.jeda.ai/?ref=allthingsai,Design,collabor realtim creat stun visual content boost busi strategi
80,Adobe Firefly,https://www.allthingsai.com/tool/adobe-firefly,"Experiment, imagine, and make an infinite range of creations with Firefly.",https://firefly.adobe.com/,True,https://firefly.adobe.com/?ref=allthingsai,Design,experi imagin make infinit rang creation firefli
81,Fiction,https://www.allthingsai.com/tool/fiction,"Generate incredible mockups, designs, animations, ads, avatars, and more.",https://www.fiction.com/,True,https://www.fiction.com/?ref=allthingsai,Design,gener incred mockup design anim ad avatar
82,Autodesigner,https://www.allthingsai.com/tool/autodesigner,Use simple text to generate multi screen mockups for apps and websites.,https://uizard.io/autodesigner/,True,https://uizard.io/autodesigner/?ref=allthingsai,Design,use simpl text gener multi screen mockup app websit
83,Contentinator,https://www.allthingsai.com/tool/contentinator,"Generate realistic content for your Figma designs, with minimal effort.",https://contentinator.com/,True,https://contentinator.com/?ref=allthingsai,Design,gener realist content figma design minim effort
84,Galileo AI,https://www.allthingsai.com/tool/galileo-ai,"Galileo AI creates delightful, editable UI designs from a simple text description.",https://www.usegalileo.ai/,True,https://www.usegalileo.ai/?ref=allthingsai,Design,galileo ai creat delight edit ui design simpl text descript
85,Clickable,https://www.allthingsai.com/tool/clickable,"Beautiful, brand-consistent, and highly converting ads for all marketing channels.",https://www.clickable.so/,True,https://www.clickable.so/?ref=allthingsai,Design,beauti brandconsist highli convert ad market channel
86,IconifyAI,https://www.allthingsai.com/tool/iconifyai,AI tool that let's you create professional icons for your app/website in seconds.,https://www.iconifyai.com/,True,https://www.iconifyai.com/?ref=allthingsai,Design,ai tool let creat profession icon appwebsit second
87,Flair,https://www.allthingsai.com/tool/flair,Generate product photos with your own branded objects.,https://flair.ai/,True,https://flair.ai/?ref=allthingsai,Design,gener product photo brand object
88,Pebblely,https://www.allthingsai.com/tool/pebblely,Create beautiful photos for any product in seconds.,https://pebblely.com/,True,https://pebblely.com/?ref=allthingsai,Design,creat beauti photo product second
89,MakeLogoAI,https://www.allthingsai.com/tool/makelogoai,"Generate uniques logos, for less than a coffee.",https://makelogo.ai/,True,https://makelogo.ai/?ref=allthingsai ,Design,gener uniqu logo less coffe
90,Hotpot,https://www.allthingsai.com/tool/hotpot,"AI tools to create graphics, pictures, and text.",https://hotpot.ai/,True,https://hotpot.ai/?ref=allthingsai ,Design,ai tool creat graphic pictur text
91,Magician,https://www.allthingsai.com/tool/magician,A magical design tool for Figma powered by AI.,https://magician.design/,True,https://magician.design/?ref=allthingsai ,Design,magic design tool figma power ai
92,Wand,https://www.allthingsai.com/tool/wand,Wand lets you sketch on an infinite canvas using stable diffusion.,https://www.wand.earth/,True,https://www.wand.earth/?ref=allthingsai ,Design,wand let sketch infinit canva use stabl diffus
93,PicFinder,https://www.allthingsai.com/tool/picfinder,A infinite image generation tool that's free forever.,https://picfinder.ai/,True,https://picfinder.ai/?ref=allthingsai,Image Generation,infinit imag gener tool that free forev
94,Cutout Pro,https://www.allthingsai.com/tool/cutout-pro,An image editting and visual design platform using AI.,https://www.cutout.pro/,True,https://www.cutout.pro/?ref=allthingsai,Image Generation,imag edit visual design platform use ai
95,ImagineMe,https://www.allthingsai.com/tool/imagineme,Create stunning AI visuals of yourself with a single line of text.,https://imagineme.ai/ambassador/96/,True,https://imagineme.ai/ambassador/96/,Image Generation,creat stun ai visual singl line text
96,ThumbnailMaker,https://www.allthingsai.com/tool/thumbnailmaker,Generate more appealing and colorful versions of your existing video thumbnails.,https://thumbnailmaker.art/,True,https://thumbnailmaker.art/?ref=allthingsai,Image Generation,gener appeal color version exist video thumbnail
97,Gencraft,https://www.allthingsai.com/tool/gencraft,"Pphoto and video art generation engine available on web, iOS and Android devices.",https://gencraft.com/,True,https://gencraft.com/?ref=allthingsai,Image Generation,pphoto video art gener engin avail web io android devic
98,Stockimg,https://www.allthingsai.com/tool/stockimg,"Image generation for brands. Easily generate logo's, posters and more using AI.",https://stockimg.ai/,True,https://stockimg.ai/?ref=allthingsai,Image Generation,imag gener brand easili gener logo poster use ai
